"id","category","subcategory","question","answer","keywords","difficulty","source","source_url","medical_safety_level"
1,"Blood Basics","is","What is blood?","Blood is a specialized liquid connective tissue circulating through the cardiovascular system that transports oxygen, vital nutrients, cellular hormones, and metabolic waste products while maintaining body temperature and immune defense.","blood,definition,body fluid,connective tissue","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
2,"Blood Basics","does","What does blood do?","Blood carries oxygen from the lungs to every cell, transports glucose and amino acids, removes carbon dioxide to the lungs, filters toxins toward kidneys and liver, circulates disease-fighting antibodies, and maintains fluid and pH balance.","blood functions,oxygen transport,nutrients,waste","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
3,"Blood Basics","is","Why is blood important?","Blood is essential for life because organs and tissues require a constant supply of oxygen and fuel to survive. Without adequate blood volume and circulation, cellular hypoxia and irreversible organ failure quickly occur.","importance of blood,cellular survival,oxygenation","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
4,"Blood Basics","are","What are the functions of blood?","The primary functions are transportation (oxygen, nutrients, hormones, wastes), regulation (core temperature, acid-base pH, fluid volume), and protection (immune defenses against pathogens, blood clotting to stop hemorrhage).","functions of blood,transportation,regulation,protection","intermediate","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
5,"Blood Basics","much","How much blood does an adult human have?","An average adult human body contains approximately 4.5 to 5.5 liters (about 8 to 10 pints) of blood, making up approximately 7% to 8% of total body weight.","blood volume,adult body,liters,pints","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
6,"Blood Basics","is","Why is blood red?","Blood appears red due to hemoglobin, an iron-containing protein within red blood cells. When oxygen binds to hemoglobin, it reflects bright scarlet red light; when deoxygenated in veins, it reflects a darker, deeper crimson red.","why blood is red,hemoglobin,iron,oxygenated","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
7,"Blood Basics","human","Is human blood ever blue inside the body?","No. Human blood is never blue. Oxygenated blood is bright red, and deoxygenated blood is dark crimson red. Veins only appear bluish through the skin because subcutaneous fat and skin layers absorb red wavelengths while scattering blue light.","blue blood myth,deoxygenated blood,skin optics","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
8,"Blood Basics","is","What is the normal pH of human blood?","The normal physiological pH range of arterial blood is tightly maintained between 7.35 and 7.45, making it slightly alkaline. Any deviation below 7.35 (acidosis) or above 7.45 (alkalosis) can disrupt cellular enzymes.","blood pH,alkaline,homeostasis,acidosis","intermediate","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
9,"Blood Basics","is","What is hematocrit?","Hematocrit (Hct) is the volumetric percentage of whole blood made up of red blood cells. Normal values typically range from 38% to 48% for adult women and 40% to 54% for adult men.","hematocrit,percentage,red blood cells,blood volume","intermediate","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
10,"Blood Basics","is","What is the temperature of circulating blood?","Circulating blood operates at approximately 37°C to 38°C (98.6°F to 100.4°F), slightly warmer than average superficial body temperature, helping distribute core heat evenly across peripheral limbs.","blood temperature,thermoregulation,core temperature","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
11,"Blood Basics","fast","How fast does blood travel through the body?","A single drop of blood takes roughly 20 to 60 seconds to complete an entire circulatory loop from the heart through the lungs, out to peripheral capillaries, and back to the heart.","circulation speed,cardiovascular transit,transit time","intermediate","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
12,"Blood Basics","is","Where is blood produced in the body?","Blood cells are continuously produced through hematopoiesis primarily in the red bone marrow found inside spongy bones such as the pelvis, sternum, ribs, vertebrae, and ends of the femur and humerus.","hematopoiesis,bone marrow,blood production","beginner","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
13,"Blood Basics","is","What is hematopoiesis?","Hematopoiesis is the biological process by which multipotent hematopoietic stem cells (HSCs) in the bone marrow differentiate into mature red blood cells, white blood cells, and platelets.","hematopoiesis,stem cells,differentiation","advanced","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
14,"Blood Basics","artificial","Can artificial blood replace real blood?","Currently, there is no true synthetic substitute that can replicate all complex functions of human blood (clotting, immune defense, and oxygen exchange). Safe transfusions depend completely on voluntary blood donors.","synthetic blood,artificial blood,substitutes","intermediate","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
15,"Blood Basics","long","How long can a person survive without blood circulation?","Brain tissue begins suffering irreversible damage within 3 to 5 minutes of total circulatory arrest due to oxygen deprivation. Immediate CPR and blood flow restoration are vital.","cardiac arrest,oxygen deprivation,brain survival","intermediate","World Health Organization (WHO)","https://www.who.int/campaigns/world-blood-donor-day","educational"
16,"Blood Functions","does","How does blood transport oxygen?","Red blood cells contain millions of hemoglobin molecules. In pulmonary capillaries, oxygen molecules bind reversibly to the iron atoms in hemoglobin, forming oxyhemoglobin, which is carried to tissue capillaries.","oxygen transport,hemoglobin,lungs,tissues","intermediate","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
17,"Blood Functions","does","How does blood remove carbon dioxide from tissues?","Carbon dioxide produced by cellular metabolism diffuses into blood and is transported in three ways: dissolved in plasma (7%), bound to hemoglobin as carbaminohemoglobin (23%), and converted to bicarbonate ions (70%) by carbonic anhydrase.","carbon dioxide removal,bicarbonate,respiratory exchange","advanced","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
18,"Blood Functions","does","How does blood regulate core body temperature?","By altering blood vessel diameter: vasodilation widens surface capillaries to dissipate excess heat through the skin, whereas vasoconstriction redirects blood flow to deep core organs to preserve warmth in cold environments.","thermoregulation,vasodilation,vasoconstriction","intermediate","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
19,"Blood Functions","does","How does blood fight biological infections?","White blood cells (leukocytes) identify and engulf bacteria through phagocytosis, while specialized B-lymphocytes produce targeted antibodies and T-lymphocytes destroy virally infected and abnormal host cells.","immune defense,leukocytes,phagocytosis,antibodies","intermediate","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
20,"Blood Functions","does","How does blood stop bleeding from wounds?","Hemostasis occurs in three progressive stages: vascular spasm (arteriolar constriction), formation of a platelet plug at the breach site, and coagulation cascade activating fibrin threads to solidify the clot.","hemostasis,clotting,vascular spasm,platelet plug","intermediate","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
21,"Blood Functions","does","How does blood deliver nutrients to cells?","Digested carbohydrates, proteins, lipids, vitamins, and minerals absorbed in the small intestine enter mesenteric blood capillaries and hepatic portal veins, which disperse them to body cells.","nutrient transport,metabolism,glucose,amino acids","beginner","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
22,"Blood Functions","does","How does blood transport endocrine hormones?","Endocrine glands (such as the pituitary, thyroid, adrenals, and pancreas) secrete hormones directly into surrounding blood capillaries, which circulate them systemically to target organ receptors.","endocrine hormones,hormonal transport,receptor binding","intermediate","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
23,"Blood Functions","does","How does blood maintain acid-base balance?","Blood maintains a stable pH of 7.35 to 7.45 using chemical buffering systems, predominantly the bicarbonate-carbonic acid buffer ($H^+ + HCO_3^- \leftrightarrow H_2CO_3 \leftrightarrow H_2O + CO_2$), working alongside renal and respiratory regulation.","acid-base balance,bicarbonate buffer,pH homeostasis","advanced","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
24,"Blood Functions","is","What is the role of blood in fluid balance?","Plasma proteins, particularly albumin, generate colloid osmotic pressure (oncotic pressure) that draws interstitial fluid back into venous capillaries, preventing tissue edema.","colloid osmotic pressure,albumin,fluid balance,edema","intermediate","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
25,"Blood Functions","does","How does blood remove metabolic waste products?","Blood collects cellular waste such as urea, creatinine, uric acid, and excess ions and routes them through the renal arteries to kidney nephrons for excretion in urine.","waste excretion,kidneys,urea,creatinine","intermediate","National Health Service (NHS Blood and Transplant)","https://www.blood.co.uk/","educational"
26,"Blood Composition","are","What are the four main components of blood?","Whole blood consists of approximately 55% liquid plasma and 45% formed cellular elements: red blood cells (erythrocytes), white blood cells (leukocytes), and platelets (thrombocytes).","components of blood,plasma,RBC,WBC,platelets","beginner","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
27,"Blood Composition","percentage","What percentage of blood is liquid plasma?","Plasma makes up approximately 55% of total blood volume. It is a pale yellow liquid comprising 90% to 92% water, 7% to 8% proteins (albumin, globulins, fibrinogen), and 1% dissolved electrolytes, nutrients, and gases.","plasma percentage,water,blood volume,proteins","beginner","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
